"clean_addr","coun_dist","shape_area","shape_leng","type","type_clean","mobile","HIV","kosher","halal","program","address","boro","zip_code","days","snap_activity","coords","bbl","lon","lat","multiple","number","clean_prgm","type1","type_clean1","program1","mobile1","HIV1","kosher1","halal1","snap_activity1","type2","type_clean2","program2","mobile2","HIV2","kosher2","halal2","snap_activity2","type3","type_clean3","program3","mobile3","HIV3","kosher3","halal3","snap_activity3","types"
"151 WOODRUFF AVENUE",40,62693961.5363,42775.1460013,"FP","Food Pantry","No","No","No","No","CALVARY PENTECOSTAL CHURCH","151 WOODRUFF AVENUE","BROOKLYN",11226,"THUR","HRA provides SNAP outreach materials for distribution and posting. SNAP outreach services provided by external organization.","-73.961145,40.654561",3050540062,-73.961145,40.654561,"Food Pantry",1,"CALVARY PENTECOSTAL CHURCH","FP","Food Pantry","CALVARY PENTECOSTAL CHURCH","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting. SNAP outreach services provided by external organization.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"1525 CENTRAL AVE",31,436682690.776,433258.983326,"FPK","Food Pantry","No","No","Yes","No","JEWISH COMMUNITY COUNCIL OF THE ROCKAWAY PENINSULA","1525 CENTRAL AVE","QUEENS",11691,"TUE,THUR","SNAP services provided by outside organization (MET Council)","-73.751553,40.605256",4155450023,-73.751553,40.605256,"Food Pantry",1,"JEWISH COMMUNITY COUNCIL OF THE ROCKAWAY PENINSULA","FPK","Food Pantry","JEWISH COMMUNITY COUNCIL OF THE ROCKAWAY PENINSULA","No","No","Yes","No","SNAP services provided by outside organization (MET Council)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"153-56 ROCKAWAY BLVD",28,243582123.793,115755.295075,"FP","Food Pantry","No","No","No","No","MORE THAN CONQUERORS GLOBAL MINISTRIES INC.","153-56 ROCKAWAY BLVD","QUEENS",11434,"SAT","HRA provides SNAP outreach materials for distribution and posting","-73.782553,40.669141",4121360022,-73.782553,40.669141,"Food Pantry",1,"MORE THAN CONQUERORS GLOBAL MINISTRIES INC.","FP","Food Pantry","MORE THAN CONQUERORS GLOBAL MINISTRIES INC.","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"1540 VAN SICLEN AVE",42,200830591.527,228408.992685,"FP","Food Pantry","No","No","No","No","SISTERS WITH PURPOSE INC","1540 VAN SICLEN AVE","BROOKLYN",11239,"SAT","HRA provides SNAP outreach materials for distribution and posting","-73.877987,40.647509",3044520200,-73.877987,40.647509,"Food Pantry",1,"SISTERS WITH PURPOSE INC","FP","Food Pantry","SISTERS WITH PURPOSE INC","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"155 JOHNSON AVENUE",34,104616990.005,84319.0251216,"FP","Food Pantry","No","No","No","No","TRINITY HUMAN SERVICE CORPORATION","153 A JOHNSON AVENUE","BROOKLYN",11206,"TUE-FRI","SNAP outreach services provided by on site staff","-73.94392,40.706646",3030610031,-73.94392,40.706646,"Food Pantry",1,"TRINITY HUMAN SERVICE CORPORATION","FP","Food Pantry","TRINITY HUMAN SERVICE CORPORATION","No","No","No","No","SNAP outreach services provided by on site staff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"157-22 SOUTH ROAD",28,243582123.793,115755.295075,"FP","Food Pantry","No","No","No","No","THE HARDING FORD VISION, INC","157-22 SOUTH ROAD, JAMAICA","QUEENS",11433,"MON/WED","HRA provides SNAP outreash materials for distribution and posting. SNAP outreach provided by on site staff member.  FBNYC TEN SITE (vendor contracted by HRA)","-73.797056,40.698152",4101250010,-73.797056,40.698152,"Multiple Programs",2,"THE HARDING FORD VISION, INC","FP","Food Pantry","THE HARDING FORD VISION, INC","No","No","No","No","HRA provides SNAP outreash materials for distribution and posting. SNAP outreach provided by on site staff member.  FBNYC TEN SITE (vendor contracted by HRA)","SK","Soup Kitchen","THE HARDING FORD VISION, INC","No","No","No","No","HRA provides SNAP outreash materials for distribution and posting. SNAP outreach provided by on site staff member.  FBNYC TEN SITE (vendor contracted by HRA)",NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry, Soup Kitchen"
"157-22 SOUTH ROAD",28,243582123.793,115755.295075,"SK","Soup Kitchen","No","No","No","No","THE HARDING FORD VISION, INC","157-22 SOUTH ROAD, JAMAICA","QUEENS",11433,"WED","HRA provides SNAP outreash materials for distribution and posting. SNAP outreach provided by on site staff member.  FBNYC TEN SITE (vendor contracted by HRA)","-73.797056,40.698152",4101250010,-73.797056,40.698152,"Multiple Programs",2,"THE HARDING FORD VISION, INC","FP","Food Pantry","THE HARDING FORD VISION, INC","No","No","No","No","HRA provides SNAP outreash materials for distribution and posting. SNAP outreach provided by on site staff member.  FBNYC TEN SITE (vendor contracted by HRA)","SK","Soup Kitchen","THE HARDING FORD VISION, INC","No","No","No","No","HRA provides SNAP outreash materials for distribution and posting. SNAP outreach provided by on site staff member.  FBNYC TEN SITE (vendor contracted by HRA)",NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry, Soup Kitchen"
"158-10 101ST ST.",32,310730082.789,312188.187072,"FP","Food Pantry","No","No","No","No","OUR LADY OF GRACE MINISTRY","158-10 101ST ST.- HOWARD BEACH","QUEENS",11414,"TUE,THUR","HRA provides SNAP outreach materials for distribution and posting","-73.833084,40.66134",4141700001,-73.833084,40.66134,"Food Pantry",1,"OUR LADY OF GRACE MINISTRY","FP","Food Pantry","OUR LADY OF GRACE MINISTRY","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"160 CONVENT AVE",9,57262986.9594,47398.2418262,"FP","Food Pantry","No","No","No","No","BENNY'S FOOD PANTRY AT CITY COLLEGE","160 CONVENT AVE, HOFFMAN LOUNGE","MANHATTAN",10031,"MON-FRI","New site, Coordinating future SNAP outreach services","-73.950864,40.819831",1019570200,-73.950864,40.819831,"Food Pantry",1,"BENNY'S FOOD PANTRY AT CITY COLLEGE","FP","Food Pantry","BENNY'S FOOD PANTRY AT CITY COLLEGE","No","No","No","No","New site, Coordinating future SNAP outreach services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"1601 41ST STREET",39,116496927.91,73679.7115105,"FPK","Food Pantry","No","No","Yes","No","ONEG SHABBOS","1601 41ST STREET","BROOKLYN",11218,"THUR","On site social services/ HRA provides SNAP training and support services","-73.980571,40.635559",3053820001,-73.980571,40.635559,"Food Pantry",1,"ONEG SHABBOS","FPK","Food Pantry","ONEG SHABBOS","No","No","Yes","No","On site social services/ HRA provides SNAP training and support services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"161 EAST 104TH ST",8,102795587.477,114088.346546,"FP","Food Pantry","No","No","No","No","JAN HUS PRESBYTERIAN CHURCH/HOMELESS OUTREACH AND ADVOCACY PROGRAM","161 EAST 104TH ST","MANHATTAN",10029,"WED,FRI","On site SNAP prescreening services/refers applicants to FBNYC TEN site for application assistance (vendor contracted by HRA)","-73.946507,40.790831",1016320026,-73.946507,40.790831,"Food Pantry",1,"JAN HUS PRESBYTERIAN CHURCH/HOMELESS OUTREACH AND ADVOCACY PROGRAM","FP","Food Pantry","JAN HUS PRESBYTERIAN CHURCH/HOMELESS OUTREACH AND ADVOCACY PROGRAM","No","No","No","No","On site SNAP prescreening services/refers applicants to FBNYC TEN site for application assistance (vendor contracted by HRA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"161 SHERMAN AVENUE",10,73314498.8406,64432.5627655,"FP","Food Pantry","No","No","No","No","NARROW DOOR I.M.C.","161 SHERMAN AVENUE","MANHATTAN",10034,"SAT","HRA provides SNAP outreach materials for distribution and posting","-73.922708,40.864404",1022210009,-73.922708,40.864404,"Food Pantry",1,"NARROW DOOR I.M.C.","FP","Food Pantry","NARROW DOOR I.M.C.","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"1615 NOSTRAND AVE",45,116765202.953,64761.7916128,"FP","Food Pantry","No","No","No","No","CHURCH OF GOD OF SALVATION","1615 NOSTRAND AVE","BROOKLYN",11226,"TUE,THUR","HRA provides SNAP outreach materials for distribution and posting","-73.948885,40.646662",3049150063,-73.948885,40.646662,"Food Pantry",1,"CHURCH OF GOD OF SALVATION","FP","Food Pantry","CHURCH OF GOD OF SALVATION","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"162-10 HIGHLAND AVENUE",24,185571983.632,62160.8446181,"FP","Food Pantry","No","No","No","No","FIRST UNITED METHODIST CHURCH OF JAMAICA","162-10 HIGHLAND AVENUE","QUEENS",11432,"MON","HRA provides SNAP outreach materials for distribution and posting","-73.800196,40.709781",4097720046,-73.800196,40.709781,"Food Pantry",1,"FIRST UNITED METHODIST CHURCH OF JAMAICA","FP","Food Pantry","FIRST UNITED METHODIST CHURCH OF JAMAICA","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"162-24 JAMAICA AVENUE",27,221755997.048,82516.6550754,"FP","Food Pantry","No","No","No","No","DEPARTMENT OF PROBATION QUEENS OFFICE","162-24 JAMAICA AVENUE - 2ND FLOOR","QUEENS",11432,"FRI","HRA provides SNAP outreach materials for distribution and posting","-73.797028,40.70427",4101020010,-73.797028,40.70427,"Food Pantry",1,"DEPARTMENT OF PROBATION QUEENS OFFICE","FP","Food Pantry","DEPARTMENT OF PROBATION QUEENS OFFICE","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"1637 BEDFORD AVE",35,81510738.8638,57126.6362875,"FP","Food Pantry","No","No","No","No","MEDGAR EVERS COLLEGE COUGAR COUNTRY FOOD PANTRY","1637 BEDFORD AVE - ROOM 317","BROOKLYN",11225,"TUE, WED, SAT","SNAP outreach provided by on site staff","-73.956105,40.667019",3012880001,-73.956105,40.667019,"Food Pantry",1,"MEDGAR EVERS COLLEGE COUGAR COUNTRY FOOD PANTRY","FP","Food Pantry","MEDGAR EVERS COLLEGE COUGAR COUNTRY FOOD PANTRY","No","No","No","No","SNAP outreach provided by on site staff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"165 CONOVER STREET",38,138380504.41,149196.654145,"FP","Food Pantry","No","No","No","No","FOOD FIRST, INC","165 CONOVER STREET","BROOKLYN",11231,"WED/FRI","On site SNAP prescreening and application assistance/ FBNYC TEN site (vendor contracted by HRA)","-74.013613,40.678266",3005650001,-74.013613,40.678266,"Food Pantry",1,"FOOD FIRST, INC","FP","Food Pantry","FOOD FIRST, INC","No","No","No","No","On site SNAP prescreening and application assistance/ FBNYC TEN site (vendor contracted by HRA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"1651 POPHAM AVENUE",16,57831138.393,70414.2736417,"FP","Food Pantry","No","No","No","No","WHOSOEVER WILL BAPTIST CHURCH","1651 POPHAM AVENUE","BRONX",10453,"SAT(1,2,3,4)","HRA provides SNAP outreach materials for distribution and posting","-73.921012,40.849316",2028770276,-73.921012,40.849316,"Food Pantry",1,"WHOSOEVER WILL BAPTIST CHURCH","FP","Food Pantry","WHOSOEVER WILL BAPTIST CHURCH","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"167 CHESTER STREET",41,78156814.9694,57718.3766762,"FP","Food Pantry","No","No","No","No","MT. HEBRON CHURCH OF CHRIST","167 CHESTER STREET","BROOKLYN",11212,"SAT","On site SNAP prescreening and application services/ FBNYC TEN site (vendor contracted by HRA)","-73.910929,40.66771",3035210009,-73.910929,40.66771,"Food Pantry",1,"MT. HEBRON CHURCH OF CHRIST","FP","Food Pantry","MT. HEBRON CHURCH OF CHRIST","No","No","No","No","On site SNAP prescreening and application services/ FBNYC TEN site (vendor contracted by HRA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"1695 WASHINGTON AVENUE",15,97486794.3143,63479.5026023,"FP","Food Pantry","No","No","No","No","BRONX SEVENTH DAY ADVENTIST CHURCH","1695 WASHINGTON AVENUE","BRONX",10457,"THUR(1,2,3,4)","On site SNAP prescreening and  application assistance.","-73.901115,40.842205",2029060089,-73.901115,40.842205,"Food Pantry",1,"BRONX SEVENTH DAY ADVENTIST CHURCH","FP","Food Pantry","BRONX SEVENTH DAY ADVENTIST CHURCH","No","No","No","No","On site SNAP prescreening and  application assistance.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"170-20 140TH AVE",31,436682690.776,433258.983326,"FP","Food Pantry","No","No","No","No","MINISTRY TOOLS INC","170-20 140TH AVE","QUEENS",11434,"SAT","On site SNAP prescreening and application services/ FBNYC TEN site (vendor contracted by HRA)","-73.769337,40.670876",4125880044,-73.769337,40.670876,"Food Pantry",1,"MINISTRY TOOLS INC","FP","Food Pantry","MINISTRY TOOLS INC","No","No","No","No","On site SNAP prescreening and application services/ FBNYC TEN site (vendor contracted by HRA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"1727 AMSTERDAM AVE",7,51409604.832,50140.2042375,"FP","Food Pantry","No","No","No","No","UPPER MANHATTAN MENTAL HEALTH CENTER","1727 AMSTERDAM AVE @ 145TH","MANHATTAN",10031,"TUE,WED,THUR","HRA provides SNAP outreach materials for distribution and posting","-73.946909,40.825205",1020600001,-73.946909,40.825205,"Food Pantry",1,"UPPER MANHATTAN MENTAL HEALTH CENTER","FP","Food Pantry","UPPER MANHATTAN MENTAL HEALTH CENTER","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"1751 PARK AVENUE",9,57262986.9594,47398.2418262,"FP","Food Pantry","No","No","No","No","BAILEY HOUSE FOOD PANTRY","1751 PARK AVENUE 3RD FLOOR","MANHATTAN",10035,"MON/WED","HRA provides SNAP outreach materials for distribution and posting/ FBNYC TEN site (vendor contracted by HRA)","-73.940407,40.802577",1017700072,-73.940407,40.802577,"Food Pantry",1,"BAILEY HOUSE FOOD PANTRY","FP","Food Pantry","BAILEY HOUSE FOOD PANTRY","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting/ FBNYC TEN site (vendor contracted by HRA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"1768 ST. JOHNS PLACE",41,78156814.9694,57718.3766762,"SK","Soup Kitchen","No","No","No","No","OPIN (OTHER PEOPLE IN NEED)","1768 ST. JOHNS PLACE","BROOKLYN",11233,"WED","HRA provides SNAP outreach materials and applications for distribution and posting","-73.918501,40.669607",3014740019,-73.918501,40.669607,"Soup Kitchen",1,"OPIN (OTHER PEOPLE IN NEED)","SK","Soup Kitchen","OPIN (OTHER PEOPLE IN NEED)","No","No","No","No","HRA provides SNAP outreach materials and applications for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Soup Kitchen"
"177 NAGLE AVENUE",10,73314498.8406,64432.5627655,"FPM","Food Pantry","Yes","No","No","No","CITY HARVEST MOBILE MARKET - DYCKMAN HOUSES","177 NAGLE AVENUE","MANHATTAN",10034,"WED(2),SAT(4)","HRA provides SNAP outreach materials for distribution and posting","-73.924123,40.861169",1022160001,-73.924123,40.861169,"Food Pantry",1,"CITY HARVEST MOBILE MARKET - DYCKMAN HOUSES","FPM","Food Pantry Mobile","CITY HARVEST MOBILE MARKET - DYCKMAN HOUSES","Yes","No","No","Yes","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry Mobile"
"1799 FLATBUSH AVE",45,116765202.953,64761.7916128,"FP","Food Pantry","No","No","No","No","AMMI EVANGELICAL BAPTIST CHURCH","1799 FLATBUSH AVE","BROOKLYN",11210,"SAT","HRA provides SNAP outreach materials for distribution and posting","-73.940389,40.626345",3076180028,-73.940389,40.626345,"Food Pantry",1,"AMMI EVANGELICAL BAPTIST CHURCH","FP","Food Pantry","AMMI EVANGELICAL BAPTIST CHURCH","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"1822 LACOMBE AVENUE",18,106383419.754,62147.9487384,"FP","Food Pantry","No","No","No","No","SPANISH SOUNDVIEW SDA CHURCH","1822 LACOMBE AVENUE","BRONX",10473,"WED(2 & LAST)","Makes referrals to Hunts Point SNAP center for SNAP services","-73.861207,40.814804",2034960037,-73.861207,40.814804,"Food Pantry",1,"SPANISH SOUNDVIEW SDA CHURCH","FP","Food Pantry","SPANISH SOUNDVIEW SDA CHURCH","No","No","No","No","Makes referrals to Hunts Point SNAP center for SNAP services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"1832 MADISON AVE",9,57262986.9594,47398.2418262,"FP","Food Pantry","No","No","No","No","BETH HARK CHRISTIAN COUNSELING CENTER","1832 MADISON AVE @120 ST","MANHATTAN",10035,"TUE/THUR","On site SNAP prescreening and application assistance/ FBNYC TEN site (vendor contracted by HRA)","-73.943801,40.802483",1017460002,-73.943801,40.802483,"Food Pantry",1,"BETH HARK CHRISTIAN COUNSELING CENTER","FP","Food Pantry","BETH HARK CHRISTIAN COUNSELING CENTER","No","No","No","No","On site SNAP prescreening and application assistance/ FBNYC TEN site (vendor contracted by HRA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"1832 MADISON AVENUE",9,57262986.9594,47398.2418262,"SK","Soup Kitchen","No","No","No","No","BETH HARK CHRISTIAN COUNSELING CENTER","1832 MADISON AVENUE","MANHATTAN",10035,"WED,THUR","On site SNAP prescreening and application assistance/ FBNYC TEN site (vendor contracted by HRA)","-73.943801,40.802483",1017460002,-73.943801,40.802483,"Soup Kitchen",1,"BETH HARK CHRISTIAN COUNSELING CENTER","SK","Soup Kitchen","BETH HARK CHRISTIAN COUNSELING CENTER","No","No","No","No","On site SNAP prescreening and application assistance/ FBNYC TEN site (vendor contracted by HRA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Soup Kitchen"
"187-10 BAISLEY BLVD",27,221755997.048,82516.6550754,"FP","Food Pantry","No","No","No","No","FIRST CHURCH OF GOD IN CHRIST, INC.","187-10 BAISLEY BLVD","QUEENS",11412,"THUR","HRA provides SNAP outreach materials for distribution and posting","-73.762923,40.690205",4124480025,-73.762923,40.690205,"Food Pantry",1,"FIRST CHURCH OF GOD IN CHRIST, INC.","FP","Food Pantry","FIRST CHURCH OF GOD IN CHRIST, INC.","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"1870 DRUMGOOLE ROAD EAST",51,655648717.432,195521.334273,"FPK","Food Pantry","No","No","Yes","No","MESIVTHA OF STATEN ISLAND","1870 DRUMGOOLE ROAD EAST","STATEN ISLAND",10309,"WED","HRA provides SNAP outreach materials for distribution and posting","-74.214477,40.527495",5069980024,-74.214477,40.527495,"Food Pantry",1,"MESIVTHA OF STATEN ISLAND","FPK","Food Pantry","MESIVTHA OF STATEN ISLAND","No","No","Yes","No","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"1875 AMSTERDAM AVE",7,51409604.832,50140.2042375,"FP","Food Pantry","No","No","No","No","FAMILY INTEGRATION MINISTRY FOOD PANTRY","1875 AMSTERDAM AVE","MANHATTAN",10031,"THUR","SNAP outreach services provided by on site staff","-73.943859,40.829989",1020670063,-73.943859,40.829989,"Food Pantry",1,"FAMILY INTEGRATION MINISTRY FOOD PANTRY","FP","Food Pantry","FAMILY INTEGRATION MINISTRY FOOD PANTRY","No","No","No","No","SNAP outreach services provided by on site staff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"19-20 NEW HAVEN AVENUE",31,436682690.776,433258.983326,"FP","Food Pantry","No","No","No","No","ST. MARY STAR OF THE SEA","19-20 NEW HAVEN AVENUE","QUEENS",11691,"TUE,FRI","HRA provides SNAP outreach materials for distribution and posting.","-73.752715,40.60076",4155640079,-73.752715,40.60076,"Food Pantry",1,"ST. MARY STAR OF THE SEA","FP","Food Pantry","ST. MARY STAR OF THE SEA","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"1905 MORRIS AVENUE",14,51648156.0501,48429.4566604,"FP","Food Pantry","No","No","No","No","ST. EDMUNDS YOUTH PROGRAM INC","1905 MORRIS AVENUE","BRONX",10453,"THUR","HRA provides SNAP outreach materials for distribution and posting","-73.908231,40.849929",2028280037,-73.908231,40.849929,"Food Pantry",1,"ST. EDMUNDS YOUTH PROGRAM INC","FP","Food Pantry","ST. EDMUNDS YOUTH PROGRAM INC","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"1909 VYSE AVE",17,135053206.029,120620.696712,"FP","Food Pantry","No","No","No","No","GRACE EPISCOPAL CHURCH  (BX)","1909 VYSE AVE","BRONX",10460,"THUR","HRA provides SNAP outreach materials for distribution and posting","-73.883647,40.840584",2029920065,-73.883647,40.840584,"Food Pantry",1,"GRACE EPISCOPAL CHURCH  (BX)","FP","Food Pantry","GRACE EPISCOPAL CHURCH  (BX)","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"1909 VYSE AVENUE",17,135053206.029,120620.696712,"SK","Soup Kitchen","No","No","No","No","GRACE EPISCOPAL CHURCH","1909 VYSE AVENUE","BRONX",10460,"TUE,SAT","HRA provides SNAP outreach materials for distribution and posting","-73.883647,40.840584",2029920065,-73.883647,40.840584,"Soup Kitchen",1,"GRACE EPISCOPAL CHURCH","SK","Soup Kitchen","GRACE EPISCOPAL CHURCH","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Soup Kitchen"
"191 JORALEMON STREET",33,124237883.434,130591.006365,"FP","Food Pantry","No","No","No","No","BROOKLYN WEST FAMILY CENTER","191 JORALEMON STREET","BROOKLYN",11201,"THUR","HRA provides SNAP outreach materials for distribution and posting","-73.991762,40.692816",3002550008,-73.991762,40.692816,"Food Pantry",1,"BROOKLYN WEST FAMILY CENTER","FP","Food Pantry","BROOKLYN WEST FAMILY CENTER","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"191-22 JAMAICA AVENUE",27,221755997.048,82516.6550754,"FP","Food Pantry","No","No","No","No","HOLLIS COMMUNITY CHRISTIAN CENTER","191-22 JAMAICA AVENUE","QUEENS",11423,"SAT","HRA provides SNAP outreach materials for distribution and posting","-73.767868,40.712661",4108200040,-73.767868,40.712661,"Food Pantry",1,"HOLLIS COMMUNITY CHRISTIAN CENTER","FP","Food Pantry","HOLLIS COMMUNITY CHRISTIAN CENTER","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"1910 FLATBUSH AVENUE",45,116765202.953,64761.7916128,"FP","Food Pantry","No","No","No","No","ADMIRABLE CHURCH INC","1910 FLATBUSH AVENUE","BROOKLYN",11210,"SAT","HRA provides SNAP outreach materials for distribution and posting","-73.937734,40.623107",3078100037,-73.937734,40.623107,"Food Pantry",1,"ADMIRABLE CHURCH INC","FP","Food Pantry","ADMIRABLE CHURCH INC","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"195-12 HOLLIS AVENUE",27,221755997.048,82516.6550754,"FP","Food Pantry","No","No","No","No","GENESIS TRANSITIONAL HOUSING MINISTRIES, INC","195-12 HOLLIS AVENUE","QUEENS",11412,"FRI","HRA provides SNAP outreach materials for distribution and posting","-73.762385,40.706478",4108880049,-73.762385,40.706478,"Food Pantry",1,"GENESIS TRANSITIONAL HOUSING MINISTRIES, INC","FP","Food Pantry","GENESIS TRANSITIONAL HOUSING MINISTRIES, INC","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"198 EAST 161ST STREET",16,57831138.393,70414.2736417,"FP","Food Pantry","No","No","No","No","DEPARTMENT OF PROBATION BRONX OFFICE","198 EAST 161ST STREET","BRONX",10451,"FRI","HRA provides SNAP outreach materials for distribution and posting.  SNAP Outreach conducted by external organization (WSCAH)","-73.9211,40.825809",2024430094,-73.9211,40.825809,"Food Pantry",1,"DEPARTMENT OF PROBATION BRONX OFFICE","FP","Food Pantry","DEPARTMENT OF PROBATION BRONX OFFICE","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting.  SNAP Outreach conducted by external organization (WSCAH)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"198 EUCLID AVENUE",37,98292390.5272,65461.0111019,"FP","Food Pantry","No","No","No","No","BLESSED SACRAMENT CHURCH (BKLYN)","198 EUCLID AVENUE","BROOKLYN",11208,"WED","HRA provides SNAP outreach materials for distribution and posting","-73.874721,40.683703",3041280044,-73.874721,40.683703,"Food Pantry",1,"BLESSED SACRAMENT CHURCH (BKLYN)","FP","Food Pantry","BLESSED SACRAMENT CHURCH (BKLYN)","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
