"type","type_clean","mobile","HIV","kosher","halal","program","address","clean_addr","boro","zip_code","days","snap_activity","coords","bbl","lat","lon"
"FP","Food Pantry","No","No","No","No","COMMUNITY SERVICES HOUSING DEVELOPMENT CORP.","547 HOWARD AVE","547 HOWARD AVE","BROOKLYN","11233","THUR","HRA provides SNAP outreach materials for distribution and posting","-73.919681,40.669003","3014760009",40.669003,-73.919681
"FP","Food Pantry","No","No","No","No","COMPASSION HOUSE COMMUNITY DEVELOPMENT CORPORATION","43 GEORGE STREET","43 GEORGE STREET","BROOKLYN","11206","TUE,THUR(EVY OTH)","HRA provides SNAP outreach materials for distribution and posting","-73.931918,40.701207","3031530031",40.701207,-73.931918
"FP","Food Pantry","No","No","No","No","COOP CITY SDA CHURCH FOOD PANTRY","1010 BAYCHESTER AVENUE","1010 BAYCHESTER AVENUE","BRONX","10475","WED","HRA provides SNAP outreach materials for distribution and posting","-73.830958,40.880315","2051410298",40.880315,-73.830958
"FP","Food Pantry","No","No","No","No","COPO FOOD PANTRY","1077 CONEY ISLAND AVENUE","1077 CONEY ISLAND AVENUE","BROOKLYN","11230","FRI","HRA provides SNAP outreach materials for distribution and posting. FBNYC provides SNAP services via ACCESS NYC.","-73.966217,40.631332","3066860079",40.631332,-73.966217
"FP","Food Pantry","No","No","No","No","CORNERSTONE BAPTIST FOOD PANTRY","562-574 MADISON STREET","562 MADISON STREET","BROOKLYN","11221","TUE","HRA provides SNAP outreach materials for distribution and posting","-73.935352,40.686234","3016450001",40.686234,-73.935352
"FP","Food Pantry","No","No","No","No","CORNERSTONE SEVENTH DAY ADVENTIST CHURCH","138 PENNSYLVANIA AVE","138 PENNSYLVANIA AVE","BROOKLYN","11207","THUR","HRA provides SNAP outreach materials for distribution and posting","-73.896943,40.67449","3036860034",40.67449,-73.896943
"SK","Soup Kitchen","No","No","No","No","CORNERSTONE SEVENTH DAY ADVENTIST CHURCH","138 PENNSYLVANIA AVE","138 PENNSYLVANIA AVE","BROOKLYN","11207","SUN","HRA provides SNAP outreach materials for distribution and posting","-73.896943,40.67449","3036860034",40.67449,-73.896943
"FP","Food Pantry","No","No","No","No","CORONA S.D.A. CHURCH","35-30 103RD STREET","35-30 103RD STREET","QUEENS","11368","MON","HRA provides SNAP outreach materials for distribution and posting","-73.865001,40.753795","4017430020",40.753795,-73.865001
"SK","Soup Kitchen","No","No","No","No","CORONA S.D.A. CHURCH","35-30 103RD STREET","35-30 103RD STREET","QUEENS","11368","SUN","HRA provides SNAP outreach materials for distribution and posting","-73.865001,40.753795","4017430020",40.753795,-73.865001
"FP","Food Pantry","No","No","No","No","CORPUS CHRISTI FOOD PANTRY","31-30 61ST STREET","31-30 61ST STREET","QUEENS","11377","WED","HRA provides SNAP outreach materials for distribution and posting","-73.90192,40.756475","4011360048",40.756475,-73.90192
"SK","Soup Kitchen","No","No","No","No","CRESTON AVENUE BAPTIST CHURCH OF CHRIST, INC","114 EAST 188TH STREET","114 EAST 188TH STREET","BRONX","10468","SAT","HRA provides SNAP outreach materials for distribution and posting","-73.899154,40.861696","2031730036",40.861696,-73.899154
"FP","Food Pantry","No","No","No","No","CRESTON AVENUE BAPTIST CHURCH, INC","114 EAST 188TH STREET","114 EAST 188TH STREET","BRONX","10468","MON,WED,FRI","HRA provides SNAP outreach materials for distribution and posting","-73.899154,40.861696","2031730036",40.861696,-73.899154
"FPK","Food Pantry","No","No","Yes","No","CROWN HEIGHTS JEWISH COMMUNITY COUNCIL","899 MONTGOMERY STREET","899 MONTGOMERY STREET","BROOKLYN","11213","WED","On site SNAP prescreening and application assistance","-73.934987,40.664761","3014180049",40.664761,-73.934987
"FP","Food Pantry","No","No","No","No","CUYLER WARREN U.M.C.","424 DEAN STREET","424 DEAN STREET","BROOKLYN","11217","TUE","HRA provides SNAP outreach materials for distribution and posting. SNAP outreach services provided by on site staff member. FBNYC TEN site.","-73.977239,40.682115","3009300032",40.682115,-73.977239
"FP","Food Pantry","No","No","No","No","DAVIDSON COMMUNITY CENTER INC","2038 DAVIDSON AVENUE","2038 DAVIDSON AVENUE","BRONX","10453","WED","HRA provides SNAP outreach materials for distribution and posting. SNAP Outreach services provided by on site staff.","-73.908464,40.853539","2028630028",40.853539,-73.908464
"FP","Food Pantry","No","No","No","No","DELIVERANCE TEMPLE CHURCH OF JESUS CHRIST","134-10 ROCKAWAY BLVD SO. OZONE PARK","134-10 ROCKAWAY BLVD","QUEENS","11420","TUE","HRA provides SNAP outreach materials for distribution and posting","-73.804094,40.674376","4117580046",40.674376,-73.804094
"FP","Food Pantry","No","No","No","No","DEPARTMENT OF PROBATION BRONX OFFICE","198 EAST 161ST STREET","198 EAST 161ST STREET","BRONX","10451","FRI","HRA provides SNAP outreach materials for distribution and posting.  SNAP Outreach conducted by external organization (WSCAH)","-73.9211,40.825809","2024430094",40.825809,-73.9211
"FP","Food Pantry","No","No","No","No","DEPARTMENT OF PROBATION BROOKLYN OFFICE","345 ADAMS STREET - 6TH FLOOR","345 ADAMS STREET","BROOKLYN","11201","FRI","HRA provides SNAP outreach materials for distribution and posting","-73.988424,40.692721","3001407503",40.692721,-73.988424
"FP","Food Pantry","No","No","No","No","DEPARTMENT OF PROBATION QUEENS OFFICE","162-24 JAMAICA AVENUE - 2ND FLOOR","162-24 JAMAICA AVENUE","QUEENS","11432","FRI","HRA provides SNAP outreach materials for distribution and posting","-73.797028,40.70427","4101020010",40.70427,-73.797028
"FP","Food Pantry","No","No","No","No","DEPARTMENT OF PROBATION STATEN ISLAND OFFICE","340 BAY STREET","340 BAY STREET","STATEN ISLAND","10301","MON","HRA provides SNAP outreach materials for distribution and posting","-74.075544,40.633761","5005030032",40.633761,-74.075544
"FP","Food Pantry","No","No","No","No","DIVINE FOOD PANTRY","215-31 99TH AVENUE (QUEEN VILLAGE)","215-31 99TH AVENUE","QUEENS","11429","FRI/SAT","HRA provides SNAP outreach materials for distribution and posting","-73.74297,40.714875","4110830117",40.714875,-73.74297
"FP","Food Pantry","No","No","No","No","E JOY COMMUNITY RESOURCE CENTER","29-10 THOMAS AVE - SUITE 107EE (LIC)","29-10 THOMSON AVE","QUEENS","11101","M,THUR/TUE,W,F 9AM-7PM/9AM-5PM","SNAP outreach conducted by on site staff (Single Stop)","-73.937888,40.744263","4002730001",40.744263,-73.937888
"FP","Food Pantry","No","No","No","No","EBENEZER SEVENTH DAY ADVENTIST CHURCH","1234 EAST NEW YORK AVENUE","1234 EAST NEW YORK AVENUE","BROOKLYN","11212","WED","HRA provides SNAP outreach materials for distribution and posting","-73.921341,40.667478","3035100033",40.667478,-73.921341
"FP","Food Pantry","No","No","No","No","EBENEZER WESLEYAN METHODIST CHURCH","47 ROGERS AVENUE","47 ROGERS AVENUE","BROOKLYN","11216","SAT","HRA provides SNAP outreach materials for distribution and posting","-73.952491,40.675957","3012190104",40.675957,-73.952491
"FP","Food Pantry","No","No","No","No","EGLISE BAPTISTE DE LA COMMUNION FRATERNELLE","2549 CHURCH AVE","2549 CHURCH AVE","BROOKLYN","11226","SAT","New site, Coordinating future SNAP outreach services","-73.953234,40.650841","3050900061",40.650841,-73.953234
"FP","Food Pantry","No","No","No","No","ELMCOR YOUTH & ADULT ACTIVITIES #2","33-16 108TH STREET","33-16 108TH STREET","QUEENS","11368","WED","HRA provides SNAP outreach materials for distribution and posting","-73.86137,40.757268","4017220012",40.757268,-73.86137
"FP","Food Pantry","No","No","No","No","ELOHIM COMMUNITY DEVELOPMENT & OUTREACH INC","87-47 111TH STREET, RICHMOND HILLS","87-47 111TH STREET","QUEENS","11418","FRI","HRA provides SNAP outreach materials for distribution and posting","-73.836162,40.69564","4093010024",40.69564,-73.836162
"FP","Food Pantry","No","No","No","No","EMANUEL PENTECOSTAL FAITH CHURCH","1310 ELDER AVE","1310 ELDER AVE","BRONX","10472","WED","HRA provides SNAP outreach materials for distribution and posting","-73.8796,40.831616","2038630010",40.831616,-73.8796
"FPK","Food Pantry","No","No","Yes","No","ESTHER GRUNBLATT-CENRAL QUEENS Y","67-09 108TH STREET","67-09 108TH STREET","QUEENS","11375","M,TUE,THU/W","SNAP outreach services provided by on site staff","-73.847085,40.728711","4021760001",40.728711,-73.847085
"FP","Food Pantry","No","No","No","No","EVANGEL FOOD PANTRY","39-21 CRESENT STREET (LIC)","39-21 CRESCENT STREET","QUEENS","11101","SAT (1,2,3,4)","HRA provides SNAP outreach materials for distribution and posting","-73.936973,40.754192","4003960010",40.754192,-73.936973
"FP","Food Pantry","No","No","No","No","EVERY DAY IS A MIRACLE, INC","2427 MORRIS AVENUE","2427 MORRIS AVENUE","BRONX","10468","FRI","HRA provides SNAP outreach materials for distribution and posting","-73.900363,40.861321","2031840059",40.861321,-73.900363
"FP","Food Pantry","No","No","No","No","FAMILY INTEGRATION MINISTRY FOOD PANTRY","1875 AMSTERDAM AVE","1875 AMSTERDAM AVE","MANHATTAN","10031","THUR","SNAP outreach services provided by on site staff","-73.943859,40.829989","1020670063",40.829989,-73.943859
"FP","Food Pantry","No","No","No","No","FAMILY SERVICE NETWORK OF N.Y. INC","1420 BUSHWICK AVENUE","1420 BUSHWICK AVENUE","BROOKLYN","11207","MON,WED","On site social worker/ On site SNAP prescreening and applciation assistance","-73.909047,40.683993","3034440022",40.683993,-73.909047
"FP","Food Pantry","No","No","No","No","FATHER CREAVIN'S FOOD PANTRY","276 WEST 151ST STREET","276 WEST 151ST STREET","MANHATTAN","10039","TUE(2,3,4,5)","HRA provides SNAP outreach materials for distribution and posting.","-73.937799,40.825859","1020360047",40.825859,-73.937799
"FP","Food Pantry","No","No","No","No","FELLOWSHIP CONVENT CHURCH","720 CASTLE HILL AVENUE","720 CASTLE HILL AVENUE","BRONX","10473","WED","HRA provides SNAP outreach materials for distribution and posting","-73.848291,40.821674","2036130032",40.821674,-73.848291
"SK","Soup Kitchen","No","No","No","No","FIRST BAPTIST CHURCH","100-10 ASTORIA BLVD., E. ELMHURST","100-10 ASTORIA BLVD.","QUEENS","11369","WED","HRA provides SNAP outreach materials for distribution and posting","-73.868911,40.76148","4016880002",40.76148,-73.868911
"FP","Food Pantry","No","No","No","No","FIRST CHURCH OF GOD IN CHRIST, INC.","187-10 BAISLEY BLVD","187-10 BAISLEY BLVD","QUEENS","11412","THUR","HRA provides SNAP outreach materials for distribution and posting","-73.762923,40.690205","4124480025",40.690205,-73.762923
"FP","Food Pantry","No","No","No","No","FIRST PRESBYTERIAN CHURCH OF JAMAICA","89-60 164TH STREET","89-60 164TH STREET","QUEENS","11432","TUE/4TH SAT","On site SNAP prescreening and application assistance services/ FBNYC TEN site (vendor contracted by HRA)","-73.796654,40.705783","4097930086",40.705783,-73.796654
"SK","Soup Kitchen","No","No","No","No","FIRST PRESBYTERIAN CHURCH OF JAMAICA","89-60 164TH STREET","89-60 164TH STREET","QUEENS","11432","WED","On site SNAP prescreening and application assistance services/ FBNYC TEN site (vendor contracted by HRA)","-73.796654,40.705783","4097930086",40.705783,-73.796654
"FP","Food Pantry","No","No","No","No","FIRST PRESBYTERIAN RUSSELL SAGE MEMORIAL CHURCH OF FAR ROCKAWAY","896 CENTRAL AVENUE (FAR ROCKAWAY)","896 CENTRAL AVENUE","QUEENS","11691","SAT","HRA provides SNAP outreach materials for distribution and posting","-73.747337,40.609651","4155060001",40.609651,-73.747337
"FP","Food Pantry","No","No","No","No","FIRST UNITED METHODIST CHURCH OF JAMAICA","162-10 HIGHLAND AVENUE","162-10 HIGHLAND AVENUE","QUEENS","11432","MON","HRA provides SNAP outreach materials for distribution and posting","-73.800196,40.709781","4097720046",40.709781,-73.800196
"FP","Food Pantry","No","No","No","No","FLATBUSH SDA CHURCH","261 EAST 21ST STREET","261 EAST 21ST STREET","BROOKLYN","11226","MON","HRA provides SNAP outreach materials for distribution and posting","-73.959078,40.648065","3051020073",40.648065,-73.959078
"FP","Food Pantry","No","No","No","No","FOOD BANK FOR NEW YORK CITY","252 WEST 116TH STREET","252 WEST 116TH STREET","MANHATTAN","10026","TUE,THUR,F/W","SNAP prescreening and electronic submission of SNAP applications and documents/ EASY ACCESS (for SNAP documents) site/ ACCESS NYC site","-73.95498,40.803958","1018310060",40.803958,-73.95498
"SK","Soup Kitchen","No","No","No","No","FOOD BANK FOR NEW YORK CITY","252 WEST 116TH STREET","252 WEST 116TH STREET","MANHATTAN","10026","MON-FRI","SNAP prescreening and electronic submission of SNAP applications and documents/ EASY ACCESS (for SNAP documents) site/ ACCESS NYC site","-73.95498,40.803958","1018310060",40.803958,-73.95498
"FP","Food Pantry","No","No","No","No","FOOD FIRST, INC","165 CONOVER STREET","165 CONOVER STREET","BROOKLYN","11231","WED/FRI","On site SNAP prescreening and application assistance/ FBNYC TEN site (vendor contracted by HRA)","-74.013613,40.678266","3005650001",40.678266,-74.013613
"FP","Food Pantry","No","No","No","No","FOREST HILLS SENIORS CENTER","108-25 62ND DRIVE","108-25 62ND DRIVE","QUEENS","11375","THUR(2,3,4,5)/W (LAST)","On site SNAP prescreening and application assistance/ FBNYC TEN site (vendor contracted by HRA)","-73.85009,40.736296","4021590002",40.736296,-73.85009
"FP","Food Pantry","No","No","No","No","GENESIS TRANSITIONAL HOUSING MINISTRIES, INC","195-12 HOLLIS AVENUE","195-12 HOLLIS AVENUE","QUEENS","11412","FRI","HRA provides SNAP outreach materials for distribution and posting","-73.762385,40.706478","4108880049",40.706478,-73.762385
"FP","Food Pantry","No","No","No","No","GETHSEMANE BAPTIST CHURCH","771 FAIRMOUNT PLACE","771 FAIRMOUNT PLACE","BRONX","10460","THUR","HRA provides SNAP outreach materials  for distribution and posting","-73.889476,40.84308","2029550001",40.84308,-73.889476
"FP","Food Pantry","No","No","No","No","GETHSEMANE SDA CHURCH","357 EMPIRE BLVD","357 EMPIRE BLVD","BROOKLYN","11225","SUN/WED (EVERY OTHER)","HRA provides SNAP outreach materials for distribution and posting","-73.950035,40.664236","3013090138",40.664236,-73.950035
"FP","Food Pantry","No","No","No","No","GIVE THEM TO EAT","800 EAST 156TH STREET","800 EAST 156TH STREET","BRONX","10455","FRI","On site SNAP prescreening services/ refers applicants to FBNYC TEN site for application assistance (vendor contracted by HRA)","-73.904441,40.81745","2026650056",40.81745,-73.904441
"FP","Food Pantry","No","No","No","No","GOD'S BATTALION OF PRAYER CHURCH","661 LINDEN BOULEVARD","661 LINDEN BOULEVARD","BROOKLYN","11203","TUE,THUR","On site SNAP prescreening services/ refers applicants to FBNYC TEN site for application assistance (vendor contracted by HRA)","-73.933919,40.65389","3048670025",40.65389,-73.933919
"FP","Food Pantry","No","No","No","No","GOD'S DELIVERANCE TEMPLE, INC","438 RALPH AVENUE","438 RALPH AVENUE","BROOKLYN","11233","TUE","HRA provides SNAP outreach materials for distribution and posting","-73.92235,40.674179","3013570051",40.674179,-73.92235
"FP","Food Pantry","No","No","No","No","GOOD NEWS DELIVERANCE TABERNACLE","442 CLEVELAND STREET","442 CLEVELAND STREET","BROOKLYN","11208","SAT","HRA provides SNAP outreach materials for distribution and posting","-73.88448,40.673896","3040000128",40.673896,-73.88448
"FP","Food Pantry","No","No","No","No","GOSPEL ASSEMBLY - QUEENS","109-14 FARMERS BLVD","109-14 FARMERS BLVD","QUEENS","11412","SAT","HRA provides SNAP outreach mateirals for distribution and posting","-73.766943,40.703563","4103790056",40.703563,-73.766943
"SK","Soup Kitchen","No","No","No","No","GRACE EPISCOPAL CHURCH","1909 VYSE AVENUE","1909 VYSE AVENUE","BRONX","10460","TUE,SAT","HRA provides SNAP outreach materials for distribution and posting","-73.883647,40.840584","2029920065",40.840584,-73.883647
"FP","Food Pantry","No","No","No","No","GRACE EPISCOPAL CHURCH  (BX)","1909 VYSE AVE","1909 VYSE AVE","BRONX","10460","THUR","HRA provides SNAP outreach materials for distribution and posting","-73.883647,40.840584","2029920065",40.840584,-73.883647
"SK","Soup Kitchen","No","No","No","No","GRAND CENTRAL NEIGHBORHOOD SOCIAL SERVICE CORP.","120 EAST 32ND STREET","120 EAST 32ND STREET","MANHATTAN","10016","MON-SUN","SNAP outreach services provided by on site staff","-73.981468,40.745206","1008870087",40.745206,-73.981468
"FP","Food Pantry","No","No","No","No","GRAND CONCOURSE SDA CHURCH","1275 GRAND CONCOURSE","1275 GRAND CONCOURSE","BRONX","10452","WED(CLOSED 5TH WED)","SNAP outreach services provided by outside organization (Muslim Women's Institute)","-73.916549,40.836463","2024660026",40.836463,-73.916549
"FP","Food Pantry","No","No","No","No","GREENPOINT REFORMED CHURCH FOOD PANTRY","136 MILTON STREET","136 MILTON STREET","BROOKLYN","11222","THUR","HRA provides SNAP outreach materials for distribution and posting. SNAP outreach services provided by on site staff. FBNYC TEN site location","-73.954973,40.729186","3025660032",40.729186,-73.954973
"FP","Food Pantry","No","No","No","No","GUTTMAN COMMUNITY COLLEGE CAMPUS PANTRY","50 WEST 40TH STREET","50 WEST 40TH STREET","MANHATTAN","10018","MON - FRI","New site, Coordinating future SNAP outreach services","-73.984114,40.752901","1008410075",40.752901,-73.984114
"FP","Food Pantry","No","No","No","No","HANSON PLACE SEVENTH DAY ADVENTIST CHURCH","150 SOUTH PORTLAND AVENUE","150 SOUTH PORTLAND AVENUE","BROOKLYN","11217","THUR","HRA provides SNAP outreach materials for distribution and posting","-73.974376,40.684903","3020030037",40.684903,-73.974376
"FP","Food Pantry","No","No","No","No","HARLEM DOWLING WEST SIDE CENTER/SPECIALIZED SERVICES","2139 ADAM CLAYTON POWELL JR. BLVD @ 127TH STREET","2139 ADAM CLAYTON POWELL JR. BLVD","MANHATTAN","10027","TUE/FRI (1,2,3)","HRA provides SNAP outreach materials for distribution and posting","-73.947127,40.809908","1019110061",40.809908,-73.947127
"FP","Food Pantry","No","No","No","No","HARVEST OF SOULS/HOLY GHOST","13-15 EAST 125TH STREET","13 EAST 125TH STREET","MANHATTAN","10035","FRI","HRA provides SNAP outreach materials for distribution and posting","-73.941574,40.806424","1017500005",40.806424,-73.941574
"FP","Food Pantry","No","No","No","No","HEAVENLY VISION CHRISTIAN CENTER","2868 JEROME AVE","2868 JEROME AVE","BRONX","10468","TUE","On site SNAP prescreening and application assistance services/ FBNYC TEN site (vendor contracted by HRA)","-73.892187,40.871477","2033190037",40.871477,-73.892187
"FP","Food Pantry","No","No","No","No","HEBRON SDA CHURCH","1256 DEAN STREET","1256 DEAN STREET","BROOKLYN","11216","WED(1,3)","HRA provides SNAP outreach materials for distribution and posting","-73.94749,40.676509","3012130037",40.676509,-73.94749
"FP","Food Pantry","No","No","No","No","HOLDING HANDS MINISTRIES","6324 7TH AVENUE","6324 7TH AVENUE","BROOKLYN","11220","SAT","HRA provides SNAP outreach materials for distribution and posting","-74.014097,40.634934","3058020057",40.634934,-74.014097
"FP","Food Pantry","No","No","No","No","HOLLIS AVENUE CONGREGATIONAL CHURCH","211-04 HOLLIS AVE., QUEENS VILLAGE","211-04 HOLLIS AVE.","QUEENS","11429","TUE","HRA provides SNAP outreach materials  for distribution and posting","-73.746259,40.708809","4111130023",40.708809,-73.746259
"FP","Food Pantry","No","No","No","No","HOLLIS COMMUNITY CHRISTIAN CENTER","191-22 JAMAICA AVENUE","191-22 JAMAICA AVENUE","QUEENS","11423","SAT","HRA provides SNAP outreach materials for distribution and posting","-73.767868,40.712661","4108200040",40.712661,-73.767868
"FP","Food Pantry","No","No","No","No","HOLLIS PRESBYTERIAN CHURCH","100-50 196TH STREET","100-50 196TH STREET","QUEENS","11423","MON","HRA provides SNAP outreach materials for distribution and posting","-73.762709,40.708064","4108620049",40.708064,-73.762709
"SK","Soup Kitchen","No","No","No","No","HOLY APOSTLES SOUP KITCHEN","296 NINTH AVENUE @ 28TH ST.","296 NINTH AVENUE","MANHATTAN","10001","MON-FRI","On site application / recertification assistance provided by organization.","-73.998787,40.749203","1007510076",40.749203,-73.998787
"FP","Food Pantry","No","No","No","No","HOLY CROSS FOOD SUPPLEMENT PROGRAM","329 WEST 42ND STREET","329 WEST 42ND STREET","MANHATTAN","10036","SAT(SEE FILE)","HRA provides SNAP outreach materials for distribution and posting","-73.99099,40.758035","1010330017",40.758035,-73.99099
"FP","Food Pantry","No","No","No","No","HOLY GHOST UPPER ROOM FILLING STATION MINISTRY, INC","146-17 133RD AVENUE","146-17 133RD AVENUE","QUEENS","11436","SAT","HRA provides SNAP outreach materials for distribution and posting","-73.791991,40.66883","4121090001",40.66883,-73.791991
"FP","Food Pantry","No","No","No","No","HOLY NAME OF JESUS - ST. GREGORY THE GREAT","207 WEST 96TH STREET","207 WEST 96TH STREET","MANHATTAN","10025","MON","HRA provides SNAP outreach materials for distribution and posting/ REFER clients to WSCAH","-73.970989,40.794567","1018680124",40.794567,-73.970989
"FP","Food Pantry","No","No","No","No","HOLY TEMPLE CHURCH, INC","136-25 SPRINGFIELD BLVD","136-25 SPRINGFIELD BLVD","QUEENS","11413","SAT","HRA provides SNAP outreach materials for distribution and posting","-73.742313,40.698652","4112980008",40.698652,-73.742313
"FP","Food Pantry","No","No","No","No","HOPE CENTER DEVELOPMENT CORPORATION","414 EAST 95TH STREET","414 EAST 95TH STREET","BROOKLYN","11212","SAT(1,2,3,4)","On site SNAP prescreening and application assistance services/ FBNYC TEN site (vendor contracted by HRA)","-73.918711,40.656974","3046690068",40.656974,-73.918711
"SK","Soup Kitchen","No","No","No","No","HOPE CENTER DEVELOPMENT CORPORATION","409 EAST 95TH STREET","409 EAST 95TH STREET","BROOKLYN","11212","SAT(1,2,3,4)","On site SNAP prescreening and application assistance services/ FBNYC TEN site (vendor contracted by HRA)","-73.918381,40.657237","3046700015",40.657237,-73.918381
"SK","Soup Kitchen","No","No","No","No","HOPE CITY EMPOWERMENT CENTER","650-656 WASHINGTON AVENUE","650 WASHINGTON AVENUE","BROOKLYN","11238","TUE,THU,F/SAT","HRA provides SNAP outreach materials for distribution and posting.","-73.964254,40.678868","3011390023",40.678868,-73.964254
"FP","Food Pantry","No","No","No","No","HOREB SDA COMMUNITY SERVICES","520 KINGSTON AVE","520 KINGSTON AVE","BROOKLYN","11225","TUE","HRA provides SNAP outreach materials for distribution and posting","-73.943014,40.661034","3047980039",40.661034,-73.943014
"FP","Food Pantry","No","No","No","No","HOUR CHILDREN COMMUNITY OUTREACH","36-49 11TH STREET (LIC)","36-49 11TH STREET","QUEENS","11106","MON/TUE/THUR","On site SNAP prescreening and application assistance services/ FBNYC TEN site (vendor contracted by HRA)","-73.940405,40.759884","4003520001",40.759884,-73.940405
"FP","Food Pantry","No","No","No","No","ICNA FLUSHING FOOD PANTRY","140-32 CHERRY AVENUE","140-32 CHERRY AVENUE","QUEENS","11355","WED","HRA provides SNAP outreach materials for distribution and posting","-73.821625,40.754353","4051927504",40.754353,-73.821625
"FP","Food Pantry","No","No","No","No","ICNA RELIEF USA FOOD PANTRY","275 NEPTUNE AVENUE","275 NEPTUNE AVENUE","BROOKLYN","11235","MON","New site, Coordinating future SNAP outreach services","-73.963561,40.581388","3072620005",40.581388,-73.963561
"FP","Food Pantry","No","No","No","No","IGLESIA ALIANZA MISIONERA EBENEZER","43-02 38TH STREET (L.I.C.)","43-02 38TH STREET","QUEENS","11101","SAT","HRA provides SNAP outreach materials for distribution and posting","-73.927217,40.745652","4002200023",40.745652,-73.927217
"FP","Food Pantry","No","No","No","No","INSPIRATIONAL GOSPEL ASSEMBLY","1211 BROOK AVENUE","1211 BROOK AVENUE","BRONX","10456","SAT","HRA provides SNAP outreach materials for distribution and posting.","-73.90934,40.831466","2023940030",40.831466,-73.90934
"FP","Food Pantry","No","No","No","No","INTERNATIONAL PENTECOSTAL CHURCH","619 WEST 179TH STREET","619 WEST 179TH STREET","MANHATTAN","10033","TUE","HRA provides SNAP outreach materials for distribution and posting.","-73.93535,40.848465","1021620048",40.848465,-73.93535
"FP","Food Pantry","No","No","No","No","INTERNATIONAL PENTECOSTAL CITY MISSION","9202-14 CHURCH AVE","9202 CHURCH AVE","BROOKLYN","11236","SAT","HRA provides SNAP outreach materials for distribution and posting","-73.917946,40.65376","3047130036",40.65376,-73.917946
"FP","Food Pantry","No","No","No","No","IRIS HOUSE","2348 ADAM CLAYTON POWELL JR. BLVD","2348 ADAM CLAYTON POWELL JR. BLVD","MANHATTAN","10030","THUR","HRA provides SNAP outreach materials for distribution and posting. SNAP outreach provided by on site staff.","-73.942839,40.81712","1020230033",40.81712,-73.942839
"SK","Soup Kitchen","No","No","No","No","IRIS HOUSE","2348 ADAM CLAYTON POWELL JR. BLVD","2348 ADAM CLAYTON POWELL JR. BLVD","MANHATTAN","10030","TUE,W,THUR,F","HRA provides SNAP outreach materials for distribution and posting. SNAP outreach provided by on site staff.","-73.942839,40.81712","1020230033",40.81712,-73.942839
"FP","Food Pantry","No","No","No","No","ISAIAH'S TEMPLE OF MT. HOPE","862 GLENMORE AVE","862 GLENMORE AVE","BROOKLYN","11208","THUR","HRA provides SNAP outreash materials for distribution and posting","-73.878158,40.675607","3040080013",40.675607,-73.878158
"SK","Soup Kitchen","No","No","No","No","ISAIAH'S TEMPLE OF MT. HOPE","862 GLENMORE AVE","862 GLENMORE AVE","BROOKLYN","11208","TUE,THUR","HRA provides SNAP outreash materials for distribution and posting","-73.878158,40.675607","3040080013",40.675607,-73.878158
"FP","Food Pantry","No","No","No","No","J.U.S.T.I.C.E ORGANIZATION/JESUS IS JUSTICE MISSION INC.","223 BEACH 28TH STREET","223 BEACH 28TH STREET","QUEENS","11691","WED","On site SNAP prescreening and application assistance/ FBNYC TEN site (vendor contracted by HRA)","-73.761427,40.595588","4158040014",40.595588,-73.761427
"FP","Food Pantry","No","No","No","No","JAMAICA BENEVOLENT ARM & CULTURAL CENTER","2230 LIGHT STREET","2230 LIGHT STREET","BRONX","10466","WED","New site, Coordinating future SNAP outreach services","-73.830695,40.887658","2049500041",40.887658,-73.830695
"FP","Food Pantry","No","No","No","No","JAMAICA HISPANIC SDA CHURCH","88-28 161 STREET","88-28 161 STREET","QUEENS","11432","SUN","On site SNAP prescreening services/refers applicants to FBNYC TEN site for application assistance (vendor contracted by HRA)","-73.800898,40.707321","4097640075",40.707321,-73.800898
"FP","Food Pantry","No","No","No","No","JAMAICA SEVENTH DAY ADVENTIST CHURCH","88-28 163 STREET","88-28 163 STREET","QUEENS","11432","SUN","On site SNAP prescreening and application assistance/ FBNYC TEN site (vendor contracted by HRA)","-73.799132,40.70787","4097680044",40.70787,-73.799132
"FP","Food Pantry","No","No","No","No","JAN HUS PRESBYTERIAN CHURCH/HOMELESS OUTREACH AND ADVOCACY PROGRAM","161 EAST 104TH ST","161 EAST 104TH ST","MANHATTAN","10029","WED,FRI","On site SNAP prescreening services/refers applicants to FBNYC TEN site for application assistance (vendor contracted by HRA)","-73.946507,40.790831","1016320026",40.790831,-73.946507
"SK","Soup Kitchen","No","No","No","No","JAN HUS PRESBYTERIAN CHURCH/HOMELESS OUTREACH AND ADVOCACY PROGRAM","921 MADISON AVENUE","921 MADISON AVENUE","MANHATTAN","10021","TUE","On site SNAP prescreening services/refers applicants to FBNYC TEN site for application assistance (vendor contracted by HRA)","-73.964457,40.772658","1013880021",40.772658,-73.964457
"FP","Food Pantry","No","No","No","No","JESUS IS THE ANSWER - J.I.T.A. COMMUNITY OUTREACH","89-17 139TH STREET","89-17 139TH STREET","QUEENS","11435","TUE, SAT","HRA provides SNAP outreach materials for distribution and posting","-73.812641,40.702169","4099760030",40.702169,-73.812641
"FPK","Food Pantry","No","No","Yes","No","JEWISH COMMUNITY CENTER OF STATEN ISLAND","1466 MANOR ROAD","1466 MANOR ROAD","STATEN ISLAND","10314","M-THUR/FRI","SNAP services provided by outside organization (MET Council)","-74.126481,40.594832","5009550100",40.594832,-74.126481
